"","YYYYMM","Value","energy_type","sector"
"1",194913,4460.588,"Primary Energy","Residential"
"2",195013,4829.528,"Primary Energy","Residential"
"3",195113,5104.68,"Primary Energy","Residential"
"4",195213,5158.406,"Primary Energy","Residential"
"5",195313,5052.749,"Primary Energy","Residential"
"6",195413,5262.555,"Primary Energy","Residential"
"7",195513,5608.073,"Primary Energy","Residential"
"8",195613,5839.664,"Primary Energy","Residential"
"9",195713,5744.189,"Primary Energy","Residential"
"10",195813,6125.681,"Primary Energy","Residential"
"11",195913,6188.68,"Primary Energy","Residential"
"12",196013,6651.233,"Primary Energy","Residential"
"13",196113,6776.017,"Primary Energy","Residential"
"14",196213,7080.156,"Primary Energy","Residential"
"15",196313,7090.289,"Primary Energy","Residential"
"16",196413,7112.235,"Primary Energy","Residential"
"17",196513,7279.925,"Primary Energy","Residential"
"18",196613,7500.922,"Primary Energy","Residential"
"19",196713,7711.953,"Primary Energy","Residential"
"20",196813,7933.383,"Primary Energy","Residential"
"21",196913,8243.522,"Primary Energy","Residential"
"22",197013,8323.12,"Primary Energy","Residential"
"23",197113,8428.176,"Primary Energy","Residential"
"24",197213,8628.162,"Primary Energy","Residential"
"25",197301,1339.27,"Primary Energy","Residential"
"26",197302,1174.899,"Primary Energy","Residential"
"27",197303,983.374,"Primary Energy","Residential"
"28",197304,715.391,"Primary Energy","Residential"
"29",197305,535.914,"Primary Energy","Residential"
"30",197306,366.934,"Primary Energy","Residential"
"31",197307,306.868,"Primary Energy","Residential"
"32",197308,313.317,"Primary Energy","Residential"
"33",197309,342.204,"Primary Energy","Residential"
"34",197310,448.425,"Primary Energy","Residential"
"35",197311,711.988,"Primary Energy","Residential"
"36",197312,987.464,"Primary Energy","Residential"
"37",197313,8226.051,"Primary Energy","Residential"
"38",197401,1235.945,"Primary Energy","Residential"
"39",197402,1062.873,"Primary Energy","Residential"
"40",197403,912.136,"Primary Energy","Residential"
"41",197404,723.904,"Primary Energy","Residential"
"42",197405,500.171,"Primary Energy","Residential"
"43",197406,369.658,"Primary Energy","Residential"
"44",197407,318.421,"Primary Energy","Residential"
"45",197408,297.214,"Primary Energy","Residential"
"46",197409,341.18,"Primary Energy","Residential"
"47",197410,484.835,"Primary Energy","Residential"
"48",197411,645.39,"Primary Energy","Residential"
"49",197412,1016.87,"Primary Energy","Residential"
"50",197413,7908.596,"Primary Energy","Residential"
"51",197501,1145.426,"Primary Energy","Residential"
"52",197502,1090.754,"Primary Energy","Residential"
"53",197503,997.785,"Primary Energy","Residential"
"54",197504,865.717,"Primary Energy","Residential"
"55",197505,526.079,"Primary Energy","Residential"
"56",197506,368.304,"Primary Energy","Residential"
"57",197507,318.568,"Primary Energy","Residential"
"58",197508,303.802,"Primary Energy","Residential"
