,words,counts
477,zone,644
631,zombie,643
162,zlabe,642
370,yup,641
152,yourdrunkbuddy,640
372,yoday,639
601,ynumbermwnumberpmxnumberb,638
142,yliwnumbertbajc,637
374,yesterday,636
532,yep,635
33,year,634
462,xxnumbern,633
461,wrong,632
255,wreck,631
426,wow,630
432,worsen,629
30,world,628
307,work,627
438,wonder,626
336,winter,625
338,wind,624
565,win,623
575,willow,622
301,whitehouse,621
386,wet,620
306,well,619
105,wef,618
378,weather,617
643,way,616
113,water,615
393,watch,614
2,warming,613
158,warmer,612
31,warm,611
234,war,610
440,want,609
345,voter,608
344,vote,607
596,volcano,606
233,voicemail,605
632,viruses,604
492,variation,603
313,vaccine,602
24,urgent,601
480,untested,600
124,understand,599
538,underestimate,598
427,un,597
608,ukraine,596
54,tweet,595
79,tune,594
151,tsssssss,593
185,try,592
610,trump,591
269,true,590
600,trouble,589
229,trial,588
271,tree,587
246,travel,586
314,transgender,585
171,trace,584
359,total,583
531,toronto,582
279,tonynumber,581
340,tonight,580
102,ton,579
37,tomtsec,578
140,todoroki,577
363,today,576
45,time,575
495,till,574
173,thusly,573
315,theology,572
295,theme,571
634,thehealthbnumbert,570
122,thedisproof,569
341,thank,568
343,th,567
168,tenent,566
580,temp,565
484,technology,564
289,tealswag,563
47,tcyvhmnumbernnd,562
267,tax,561
48,tannumber,560
186,tall,559
23,take,558
355,system,557
275,symptom,556
74,survive,555
180,surrounding,554
346,suppression,553
181,sun,552
637,sulfate,551
219,suit,550
642,subtle,549
249,substance,548
52,stuff,547
116,stress,546
76,stop,545
399,stock,544
499,stink,543
176,stem,542
351,statement,541
473,start,540
635,spray,539
335,spend,538
6,special,537
543,soon,536
517,solution,535
209,solely,534
568,solarpower,533
412,solar,532
284,snow,531
521,slavery,530
85,slash,529
636,sky,528
419,sit,527
333,simp,526
89,shut,525
198,show,524
577,shove,523
265,shooting,522
250,share,521
402,sex,520
237,set,519
44,sell,518
507,see,517
194,screw,516
153,scottienumber,515
127,scientist,514
20,scientific,513
196,science,512
114,scarce,511
485,scale,510
607,saving,509
570,savetheplanet,508
231,save,507
98,satellite,506
337,saskatchewan,505
362,sandwich,504
13,rt,503
319,room,502
460,right,501
242,ride,500
216,rewrite,499
111,result,498
606,rest,497
476,resident,496
128,research,495
465,repeat,494
615,renewables,493
561,renewable,492
63,remember,491
208,rely,490
594,release,489
439,relationship,488
349,relate,487
19,reject,486
629,refuse,485
214,record,484
454,rebranding,483
326,realutahman,482
210,real,481
66,reach,480
35,rate,479
328,rapid,478
12,qutjdnourf,477
184,qurnumberaonumberdwe,476
380,quote,475
453,question,474
28,quentindempster,473
609,ps,472
297,prsk_fa,471
459,prove,470
526,protect,469
157,propoganda,468
202,professor,467
560,production,466
329,previous,465
455,prediction,464
481,potentially,463
515,possibly,462
161,population,461
518,ponzi,460
350,political,459
451,politic,458
58,poli,457
159,polar,456
211,point,455
135,pntsjutbgi,454
276,pls,453
487,plenty,452
51,pleasure,451
593,plant,450
474,planning,449
259,planet,448
245,plane,447
115,place,446
65,pivot,445
471,pipe,444
146,pierce,443
563,pick,442
422,perpetrate,441
489,period,440
308,people,439
364,pearl,438
207,pay,437
384,paul,436
50,paste,435
212,past,434
638,particle,433
296,park,432
369,parent,431
387,pant,430
204,palaeonumberd,429
562,pakistan,428
564,pace,427
147,ozone,426
595,oxygen,425
224,oxfordshire,424
599,output,423
288,outl,422
80,organized,421
83,orders,420
555,opportunity,419
309,open,418
187,oncoming,417
62,old,416
371,ok,415
71,ogwausa,414
68,ocean,413
130,observational,412
332,numbertrnumberin,411
511,numberoxknumberjcpw,410
78,numberk,409
39,numberc,408
4,number,407
415,nuclear,406
331,npzswwbpln,405
96,november,404
272,notwar,403
282,northern,402
261,north,401
506,normalize,400
624,non,399
278,nnumberaikdziiz,398
590,nice,397
436,news,396
494,new,395
290,nene,394
483,negative,393
405,need,392
491,natural,391
97,nasa,390
552,nanotechnology,389
428,myth,388
73,mummy,387
357,multitude,386
11,mtwownumberrmqnumber,385
437,mtaibbi,384
468,morning,383
553,mitigation,382
254,missile,381
169,miss,380
72,million,379
579,milder,378
67,miami,377
137,mhaspoiler,376
138,mhanumber,375
478,mgschmelzer,374
602,merica_number,373
583,melt,372
467,meeting,371
287,medium,370
504,medical,369
392,media,368
25,measure,367
123,mean,366
509,maybe,365
121,matthewwielicki,364
164,matter,363
400,market,362
103,manmade,361
312,mandate,360
316,male,359
304,make,358
286,mainstream,357
323,mail,356
582,low,355
470,look,354
318,locker,353
230,lockdown,352
475,lock,351
533,listen,350
