,text,neg,neu,pos,compound
0,"@Wera_Hobhouse Whilst it is madness to chop down mature trees, dry them, chip them then transport them thousands of… https://t.co/zpVlRF8atr",0.122,0.759,0.118,-0.0258
1,"RT @RailMinIndia: Progressing Towards Greener Railways!

Indian Railways is working in mission mode towards minimising its carbon footprint…",0.076,0.857,0.067,-0.1007
2,"@dorfman_p @ABCaustralia SA is a lot of rooftops PV and wind power, with gas to back up and imports from Victoria w… https://t.co/qhivfMZwFZ",0.05,0.906,0.044,-0.1007
3,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.039,0.926,0.035,-0.1007
4,RT @Wera_Hobhouse: 🌳Burning trees in our power stations is a scandal. It is not a renewable form of energy producing more CO2 per unit than…,0.057,0.897,0.046,-0.2942
5,@m_mobbs Fast tracking new major high tension networks connecting wind &amp; solar power in different locations to exis… https://t.co/rdy9oAsANr,0.066,0.896,0.038,-0.5411
6,RT @ghostrezanupf: As soon as units 7&amp;8 are commissioned  power outages will be a thing of the past as they are feeding into the national g…,0.055,0.913,0.032,-0.5411
7,"RT @JavierBlas: While oil prices tumble, European electricity prices rise as low temperatures spread from the Nordic countries into the UK…",0.06,0.912,0.028,-0.68
8,RT @deputynclegg: @RishiSunak why have you stopped UK fracking?....why are you importing American fracked gas?...why aren't petrol/diesel p…,0.066,0.909,0.025,-0.7815
9,"RT @RailMinIndia: Progressing Towards Greener Railways!

Indian Railways is working in mission mode towards minimising its carbon footprint…",0.062,0.915,0.023,-0.7989
10,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.057,0.922,0.021,-0.7989
11,"RT @JavierBlas: While oil prices tumble, European electricity prices rise as low temperatures spread from the Nordic countries into the UK…",0.06,0.92,0.02,-0.8498
12,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.056,0.925,0.018,-0.8498
13,"@Freebirdsoars @PrisonPlanet Solar panels = Natural gas.✅
Wind power = Natural gas.✅
Wave energy = sience fiction.… https://t.co/TBe21jZwlN",0.053,0.905,0.042,-0.4843
14,"@nonkelpier I'm very happy with that, but lets not forget that Portugal is fortunate to have good weather, mountain… https://t.co/QhdY44HqhP",0.033,0.897,0.07,0.9107
15,RT @WayneH__: I’m done fighting it. Time to get a small power system and a gas hob. Can’t afford to be stubborn about this any longer,0.05,0.885,0.064,0.6946
16,"@flounders912 @jackrdsn Yes good farmland is good for farming, producing good yields! We need enforceable regulatio… https://t.co/Kl4Y8vF4Mh",0.046,0.852,0.101,0.9688
17,"Ug's Political Qn:

Wl the next leader emerge from one of the known political parties thru an honest &amp; transparent… https://t.co/MF16O6L4QQ",0.043,0.842,0.115,0.9836
18,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.041,0.849,0.11,0.9836
19,"Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; s… https://t.co/WX3Z2v8jys",0.04,0.854,0.106,0.9836
20,"Emperor Xi visiting the Saudi's is a big deal&gt; oil, Iran, Putin, Woke-Ass Biden Regime, U.S. $, etc.

https://t.co/MvP40fUFf2",0.038,0.86,0.102,0.9836
21,"[Upgraded] DG64-00473A Stove Knobs Compatible with Samsung Gas Range, Reinforced Stainless Steel Protection Power R… https://t.co/7Ajmb3yfrw",0.037,0.865,0.098,0.9836
22,"RT @TheEconomist: She ignores the fact that she could have stopped Nord Stream 2, a now defunct pipeline intended to bring gas from Russia…",0.045,0.862,0.093,0.9779
23,"because of high costs of natural gas used to fuel power plants.
Thanks to Biden selling our GAS to Europe which now… https://t.co/rUeif7O6HN",0.043,0.855,0.102,0.9864
24,@Eskom_SA How far are yall on other plans like solar or whatever power station pr supplier to assist the current eskom power plants?,0.041,0.856,0.103,0.9888
25,"RT @richwal94842899: If the Labor government were smart, they would lift the moratorium on  Nuclear reactors &amp; set up a group to facilitate…",0.039,0.856,0.105,0.9907
26,Natural-$Gas Prices $Swing $Again in $Unseasonal $Slump.$Mild weather and an outage at a liquefied-natural-gas expo… https://t.co/1IR4JOrvUF,0.038,0.86,0.102,0.9907
27,"@Ofenoni Kolmani plan
120kb/d oil refinery
500 Mscf/d gas processing plant
300 MW Power plant 
2,500 Tons/d Fertili… https://t.co/xPCGYhTfa9",0.037,0.864,0.099,0.9907
28,Natural-$Gas Prices $Swing $Again in $Unseasonal $Slump.$Mild weather and an outage at a liquefied-natural-gas expo… https://t.co/jixwEe3Tog,0.036,0.867,0.097,0.9907
29,"RT @RailMinIndia: Progressing Towards Greener Railways!

Indian Railways is working in mission mode towards minimising its carbon footprint…",0.035,0.871,0.094,0.9909
30,@News24 @News24_Business The government will continue to delay the necessity for alternative sources to this proble… https://t.co/07BRztfTDi,0.038,0.87,0.092,0.9895
31,"RT @JavierBlas: While oil prices tumble, European electricity prices rise as low temperatures spread from the Nordic countries into the UK…",0.041,0.87,0.089,0.9881
32,"RT @JavierBlas: While oil prices tumble, European electricity prices rise as low temperatures spread from the Nordic countries into the UK…",0.043,0.871,0.086,0.9864
33,"@KrzysioJezyna @PrisonPlanet Solar panels = Natural gas.
Wave energy = Natural gas.
Wind power = Natural gas.
Geo t… https://t.co/CZg9eSIrNL",0.042,0.858,0.1,0.9926
34,@TheAgeParody It’s because Dan has had them all switched to solar power and they don’t run as fast,0.041,0.862,0.097,0.9926
35,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.04,0.865,0.095,0.9926
36,"RT @khamenei_ir: “We can’t” was a negative, wrong catchphrase before the Revolution in #Iran. The #Revolution changed this mindset, which l…",0.05,0.858,0.092,0.9877
37,As soon as units 7&amp;8 are commissioned  power outages will be a thing of the past as they are feeding into the natio… https://t.co/jgf1GbfIHo,0.049,0.862,0.089,0.9877
38,SolarPro Wireless – Rugged design Waterproof and Shockproof Solar Power Bank with 20000 mAh capacity and Qi Wireles… https://t.co/UiMfbR2Hc9,0.048,0.862,0.091,0.9894
39,"@TendayiZinyama My friend, people don't live on excuses. Are there Leaders?Has anyone followed up on wasted resourc… https://t.co/pKOFBjNk1a",0.051,0.855,0.094,0.9897
40,"RT @BrianGitt: Wind &amp; solar power require power plants idle on standby in case the wind stops blowing or clouds roll in.

Power plants burn…",0.052,0.857,0.091,0.989
41,"RT @CharlesSzulc: Taking into account the discriminate double dipping of the Supermarket duopoly &amp; the rubbish they’re pumping out,  &amp; thro…",0.051,0.86,0.089,0.989
42,@thecarolemalone  well said carole about the stop oil yes police are too soft .they are ruining people life getting… https://t.co/ACF7y0qOq3,0.055,0.852,0.093,0.9897
43,"RT @JavierBlas: While oil prices tumble, European electricity prices rise as low temperatures spread from the Nordic countries into the UK…",0.057,0.853,0.091,0.9884
44,"@kanchana_wij 

Why the hell do Ceb engineers oppose
Adani wind power at rs 27 per unit

And why they oppose other… https://t.co/hG6fcY6Bbi",0.062,0.85,0.088,0.9814
45,Adani Green becomes world’s largest wind-solar hybrid power developer https://t.co/0AGrGZV15p https://t.co/6aqKkxzQMQ,0.061,0.852,0.087,0.9814
46,RT @LloydMsipa: The Sun shines all year round in Zimbabwe! Any reason why we can’t prioritise building solar farms instead of continuously…,0.06,0.855,0.085,0.9814
47,Natural-$Gas Prices $Swing $Again in $Unseasonal $Slump.$Mild weather and an outage at a liquefied-natural-gas expo… https://t.co/5bAmobk2my,0.059,0.858,0.084,0.9814
48,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.058,0.86,0.082,0.9814
49,"RT @JavierBlas: While oil prices tumble, European electricity prices rise as low temperatures spread from the Nordic countries into the UK…",0.059,0.86,0.081,0.9779
50,"Nuclear power doesn’t require a lot of fuel. That’s one of the main reasons why it is stable. 

Safe, stable, clean… https://t.co/a3suWTBQW4",0.057,0.855,0.087,0.9878
51,"RT @__Injaneb96: Flashback to when Jimmy Carter, a liberal, &amp; his administration promoted Khomeini and helped him to remove Mohammadreza Pa…",0.056,0.855,0.089,0.9901
52,Natural-$Gas Prices $Swing $Again in $Unseasonal $Slump.$Mild weather and an outage at a liquefied-natural-gas expo… https://t.co/LvuGESkZXn,0.056,0.857,0.088,0.9901
53,Natural-$Gas Prices $Swing $Again in $Unseasonal $Slump.$Mild weather and an outage at a liquefied-natural-gas expo… https://t.co/WKiUt5iSAi,0.055,0.859,0.087,0.9901
54,"RT @JavierBlas: While oil prices tumble, European electricity prices rise as low temperatures spread from the Nordic countries into the UK…",0.056,0.859,0.085,0.9888
55,"We offer reliable solar power solutions for both commercial and residential users.

With Schneider Electric’s solar… https://t.co/6j0wEExtfo",0.055,0.86,0.085,0.9896
56,"@ak49rebel @HaChaChaCha7 @SLark1200 @RealJamesWoods Oh Honey, we know that's why we use nature unlimited resources… https://t.co/M1kqWA3zao",0.054,0.861,0.084,0.9896
