,author_id,text,created_at,id,edit_history_tweet_ids,lang
0,1549857918442524672,"@bjgalloway1717 @abbieasr Global warming? Thought it was climate change? Oh, that's right it changed when it didn't make sense.",2022-12-07T10:25:57.000Z,1600436443490328576,['1600436443490328576'],en
1,1075616751663104000,@shirtsthtgohard i'm pretty excited for global warming to wipe out most of humanity,2022-12-07T10:25:51.000Z,1600436419838717952,['1600436419838717952'],en
2,1515416161281785859,"@JustinTrudeau What kind of idiot would burden the very people he is supposed to care for, who's contribution to global warming is insignificant, when the biggest polluter in the world HAS NO RESTRICTIONS WHATSOEVER! https://t.co/0ZsM9fLpvj",2022-12-07T10:25:42.000Z,1600436381263663104,['1600436381263663104'],en
3,105241093,"What beautiful but 'scary' visualisation of earth science, connecting biodiversity loss to global warming. 

https://t.co/hzF5H18dQ0 
@findingnature 
#climatechange #biodiversityloss #biodiversitystripes https://t.co/JkWDqqr67A",2022-12-07T10:25:31.000Z,1600436336145465344,['1600436336145465344'],en
4,18852344,"@DawnNeesom Don't forget if it Snows in December,  January an February it'll be because of global warming, 🤣🤣",2022-12-07T10:25:24.000Z,1600436304793153536,['1600436304793153536'],en
5,1167627496197541888,RT @Denman13897929: The World Economic Forum (WEF) wants to drastically reduce the world’s population via orchestrated food shortages acros…,2022-12-07T10:25:16.000Z,1600436271746543616,['1600436271746543616'],en
6,1543512168217329676,"RT @tan123: For your copy/paste pleasure, here is some stuff that I like to say/tweet: 
CO2 is *not* the climate control knob.  It’s a poli…",2022-12-07T10:25:03.000Z,1600436216419168258,['1600436216419168258'],en
7,1361608155826769921,I wonder how much we are going to have to pay the UN to have them stop this Global Warming crisis? https://t.co/liu8TuUNKL,2022-12-07T10:24:44.000Z,1600436137381634048,['1600436137381634048'],en
8,1514680287434788865,"RT @constantin_t: 💎 “No one has ever shown that human emissions of #CO2 drives global warming!” - Australian Geologist, Professor #IanPlime…",2022-12-07T10:24:35.000Z,1600436100345909248,['1600436100345909248'],en
9,1238419968,"@NickyAACampbell Of course in UK we should strive to be as 'green' as possible but we contribute, is it 1.5% to global warming. We have no chance unless China, India and USA radically change their approach.",2022-12-07T10:24:32.000Z,1600436087322660864,['1600436087322660864'],en
10,1586418581637562371,@GBNEWS This really messes up the global warming army... Never heard of minus 10 in the UK in my 33 years,2022-12-07T10:24:04.000Z,1600435971148771337,['1600435971148771337'],en
11,1527912448031866880,"RT @orfonline: #Climatechange affects the health of humans and animals as well as food systems. While each is a significant challenge, thei…",2022-12-07T10:23:49.000Z,1600435906271358977,['1600435906271358977'],en
12,1099796448110145536,2. The heat. I know that's the point of Summer but thanks to global warming and shit I melt. Every. Single. Day. That's why I'm a Winter girl: I prefer to freeze under 100 blankets than sweating under the air-con.,2022-12-07T10:23:40.000Z,1600435870221246464,['1600435870221246464'],en
