,edit_history_tweet_ids,lang,author_id,created_at,id,text
0,['1600031012947251200'],en,1185135471430639616,2022-12-06T07:34:55.000Z,1600031012947251200,@FateGO_USA I like you here's a cupcake https://t.co/DRQgMzlEiK
1,['1600031011730993152'],en,1363344461414031367,2022-12-06T07:34:54.000Z,1600031011730993152,"RT @majorgauravarya: @India_Society Sir, this is a .38 Smith &amp; Wesson. S&amp;W is an old weapons manufacturer from USA. This weapon is a revolv…"
2,['1600031008996196352'],fr,55519360,2022-12-06T07:34:54.000Z,1600031008996196352,"RT @AlbertEzina: @pcanfin Et les exportations de nos forêts de chênes vers la Chine et les USA, on en parle quand ?"
3,['1600031008841420802'],ja,3251638442,2022-12-06T07:34:54.000Z,1600031008841420802,RT @Rinrin_Malos: 「ここら辺(惑星規模)にウルトラマンノア出るかもしれないよ(曖昧)」でたった1人で出動させられて場合によってはタイマンすることになってたティターンも、それを見越してわざわざ出動させられるUSAも普通に可哀想なのに、本当にノアが来てくれるから面…
4,['1600031007867969536'],en,732115069,2022-12-06T07:34:54.000Z,1600031007867969536,@AryavanshJunej1 It's already happening in UK 🇬🇧 and USA 🇺🇲 check it out https://t.co/5MHMRvuWvQ  Click on it Thank me later
5,['1600031006614077441'],es,4267188135,2022-12-06T07:34:53.000Z,1600031006614077441,👌 Esta es la primera ciudad que prohíbe caminar mientras se usa el móvil https://t.co/s5aTeZISZV
6,['1600031005779193856'],en,1301452423026872322,2022-12-06T07:34:53.000Z,1600031005779193856,@DefenceU SURELY UNFAIR TO THE USA &amp; UK?? Will this be who the Warmongering Western Machiavellian media blame for WW3?
7,['1600031005498220544'],en,454738837,2022-12-06T07:34:53.000Z,1600031005498220544,RT @AdnanSamiLive: Uh Oh…This country now suddenly needs Freedom &amp; Democracy- USA Coming Soon to the ‘Rescue’!!🤣🤣 https://t.co/cH48Vmhejf
8,['1600031004638425088'],pl,494906863,2022-12-06T07:34:53.000Z,1600031004638425088,RT @DGawr: Nie żyje Kirstie Alley @kirstiealley wielka strata dla kina oraz ostatnio polityki w USA. Rak okazał się silniejszy. Najbardziej…
9,['1600031003510185984'],en,818721873064329216,2022-12-06T07:34:53.000Z,1600031003510185984,"RT @marrakua: ***MISSING**** This Is CAROLINE BLESSING COOPER Last Heard From Her November 26th, 2022. Went To GHANA From The USA &amp; Lives I…"
