,id,author_id,text,created_at,edit_history_tweet_ids,lang
0,1600054202004393984,733297457640132609,"#SIMEST supporta la crescita internazionale della pugliese @blackshapeair, leader nella produzione di aeroplani #MadeinItaly: €300k per uno studio di fattibilità negli #USA e lo sviluppo di nuovi #software digitali.
#PNRR @fanpage

🔴Per saperne di più➡️https://t.co/XLTiAErKOB⬅️ https://t.co/99KSD8Smns",2022-12-06T09:07:03.000Z,['1600054202004393984'],it
1,1600054201098203136,1501027854447874049,@hanasaku_houti @usa_usa_usamin は？姉御がセクハラされたって？？どこのどいつ？？骨折ってくるわ,2022-12-06T09:07:03.000Z,['1600054201098203136'],ja
2,1600054200620179461,1256756143344369664,"RT @paulabelen110: Video completo en mi https://t.co/5GtgVamUg5 con mis amigas 🤤🤤💦💦👅👅👅 últimos lugares descuento 60%OFF !!

Full video on m…",2022-12-06T09:07:03.000Z,['1600054200620179461'],es
3,1600054200339243008,338699202,@SouthArab17 @sanaa_usa طيب ممكن تساعدنا ب حسابه حتى نستطيع متابعته,2022-12-06T09:07:03.000Z,['1600054200339243008'],ar
4,1600054199697408000,1599124200429608960,@JamesBradleyCA Chinese police stations in the USA now. Why would it be allowed for the Chinese government to send police to set up shop here in the USA and the Biden administration does nothing about it.,2022-12-06T09:07:03.000Z,['1600054199697408000'],en
5,1600054196824428545,1568420878693683202,@POTUS: 222 million conflict-affected children around the 🌍 deserve quality education. Can we count on USA to pledge $158m at the @EduCanotWait High-Level Financing Conference? Your leadership is needed now more than ever. #222MillionDreams✨📚 https://t.co/rPRvIOfYiz,2022-12-06T09:07:02.000Z,['1600054196824428545'],en
6,1600054196706869248,274031506,"RT @omar_degan: One of the on-going projects of my  firm in the Mogadishu . We are currently present in East Africa , Europe and the USA br…",2022-12-06T09:07:02.000Z,['1600054196706869248'],en
7,1600054196304216068,336473239,"SABINA 30C, from SEVENE USA: 

Condition listed above or as directed by a physician. WARNINGS. Stop use and ask a physician if symptoms persist for more than 3 days or worsen. If pregnant or breast-feeding, ask a…

https://t.co/87Nbydp3x0",2022-12-06T09:07:02.000Z,['1600054196304216068'],en
8,1600054193976385536,477593006,"11 Links today:  Feature - Changes in dance this year.  Reviews - ENB's Raymonda on tour; contemporary companies in USA, Oz and Newcastle.  A solo Nut in Brisbane today - and a chance to vote for your favourite UK show.  Here:    https://t.co/b0kSZEgBZS",2022-12-06T09:07:02.000Z,['1600054193976385536'],en
9,1600054192596451329,336473239,"TABACUM 30C, from SEVENE USA: 

Condition listed above or as directed by a physician. WARNINGS. Stop use and ask a physician if symptoms persist for more than 3 days or worsen. If pregnant or breast-feeding, ask a…

https://t.co/dQwtxWgHK5",2022-12-06T09:07:01.000Z,['1600054192596451329'],en
10,1600054191367794688,1211313579325939712,@usa_lon とりあえず自分で遺伝させてみるのでしんどそうやったらまた声かけさせてもらいます、、！,2022-12-06T09:07:01.000Z,['1600054191367794688'],ja
11,1600054191073873920,1587810983325552640,RT @workbootscom: Never wear anything but the best. @Thorogood_USA #WorkBoots https://t.co/e3ubxBkZev,2022-12-06T09:07:01.000Z,['1600054191073873920'],en
12,1600054191052836865,1478419065622470661,"RT @prefieromaduros: Papi usa su culo como quiere
https://t.co/ho7oEqdMtg",2022-12-06T09:07:01.000Z,['1600054191052836865'],es
13,1600054190654468096,2292672517,EE.UU. modificó los lanzacohetes HIMARS sin decírselo a Kiev para evitar ataques contra Rusia. USA es perfectamente consciente de que un ataque a Rusia con sus armas sería un paso adelante decisivo hacia el abismo.,2022-12-06T09:07:01.000Z,['1600054190654468096'],es
14,1600054189484396545,986688872565362688,"RT @marrakua: ***MISSING**** This Is CAROLINE BLESSING COOPER Last Heard From Her November 26th, 2022. Went To GHANA From The USA &amp; Lives I…",2022-12-06T09:07:00.000Z,['1600054189484396545'],en
15,1600054186447716354,13376012,@erjlem @aaronjmate And the EU is bucking US bullying on Chinese trade at the moment. They have realized how badly they got hosed by energy sanctions while the USA is raking it in.,2022-12-06T09:07:00.000Z,['1600054186447716354'],en
16,1600054178654859265,1516369776100409347,@oreno___usa インスタで見た途端「おおおおおおお」っと声が出てしまったくらい可愛かった投稿だ！🥹ガチで声出たから友達に「どした？」って言われて笑われたwwほんとにね可愛いしかっこいい！🖤,2022-12-06T09:06:58.000Z,['1600054178654859265'],ja
17,1600054178482507777,870845392971329540,"RT @star1_blak: In trains in India people only sell pen, pin, samosa etc. etc. Now, look at the unique peddling technique in train in USA.…",2022-12-06T09:06:58.000Z,['1600054178482507777'],en
18,1600054174653116416,751863782,"RT @JamesBradleyCA: If China is our greatest threat, why are they allowed to buy land here in the USA?",2022-12-06T09:06:57.000Z,['1600054174653116416'],en
19,1600054168214941696,259794005,"RT @ReduxxMag: BREAKING: Women with @WDI_USA were just attacked by black-clad trans activists in California. 

The women were confronted an…",2022-12-06T09:06:55.000Z,['1600054168214941696'],en
20,1600054167799992321,1389342378,"RT @FlashTweet: 3️⃣ [CONNECTER] 
#Instagram teste une fonction de capture spontanée https://t.co/4dfjUAbYyf  v/ @digitaliworld 
 
⚡️Cette f…",2022-12-06T09:06:55.000Z,['1600054167799992321'],fr
21,1600054167271510016,1481284305360158720,"RT @chitaglorya3rd: $200 giveaway in 72 hours 🍒

Rt &amp; complete the tasks below (proof)

✅ Search a token with ""shitcoin"" mark on https://t.…",2022-12-06T09:06:55.000Z,['1600054167271510016'],en
22,1600054164012556288,1588014161778601985,"@TomFitton @elonmusk @nytimes His Wife is a communist party member is she not. Or her family is heavily CCP. Isn't he a threat to the USA?
https://t.co/VgkogBxQ3R",2022-12-06T09:06:54.000Z,['1600054164012556288'],en
23,1600054162024267776,1448682666,"Wczytujemy się w Strategię na rynku akcji na 2023

👉57 stron o inflacji, perspektywie globalnej, wycenach polskich i światowych akcji

👉ok 200 wykresów np. outperformance spółek value vs growth w USA

👉40 uaktualnień rekomendacji

więcej w #Serwis_Info #eMakler https://t.co/PXe6PWZtQG",2022-12-06T09:06:54.000Z,['1600054162024267776'],pl
24,1600054161868869634,1581373393940762625,"RT @TheEuropeanLad: One goal &amp; two assists vs USA 🇺🇸

Recharging for Argentina 🇦🇷 https://t.co/ToMKLfVNRd",2022-12-06T09:06:54.000Z,['1600054161868869634'],en
25,1600054161239937026,2510775205,"RT @acostanaranjo: ¿Quién viola la ley electoral?
#EsClaudia
¿Quién hace campaña anticipada?
#EsMarcelo
¿Quién hace propaganda personalizad…",2022-12-06T09:06:54.000Z,['1600054161239937026'],es
26,1600054160233500672,1529734064873549824,"😂

Follow @bytebrackets for more related content. 

#datastructures #datastructuresandalgorithms #trending #bytebrackets #webdevelopment #fullstackdeveloper #html #codingmemes #programmingmemes #codıngısfun #games #gamesdeveloper #codingquiz #webdevelopmentusa #usa https://t.co/T0gHHNe01E",2022-12-06T09:06:54.000Z,['1600054160233500672'],en
27,1600054155871133699,3376427602,RT @Patista14: @EmekaGift100 @_AfricanUnion @RishiSunak @netanyahu @antonioguterres @mfa_russia @VP @GiorgiaMeloni Can this happen in UK or…,2022-12-06T09:06:52.000Z,['1600054155871133699'],en
28,1600054155556446208,1431316536258617348,"RT @nikobersabel: ⬇️
Just three years in its opening, lekatit 11 primary hospital has no longer able to care for its daily patients. This i…",2022-12-06T09:06:52.000Z,['1600054155556446208'],en
29,1600054154835021826,1511612637968314371,"RT @wolski_jaros: Żywienie wojny po Amerykańsku: 
https://t.co/rgxpXcDC0s
USA produkuje 14k 155mm miesięcznie, niedługo 20k a za 3 lata: 40…",2022-12-06T09:06:52.000Z,['1600054154835021826'],pl
